releveID,Achimill,Achiptar,Agrocani,Agrotenu,Ajugrept,Alchvulg,Alopprat,Angesilv,Anthodor,Arrhelat,Avenpube,Betooffi,Betupend,Brizmed,Caluvulg,Cardprat,Careflav,Carehart,Carehirt,Carelepo,Carenigr,Carepale,Carepani,Carepilu,Carepuli,Carestel,Careumbr,Centjace,Ceravulg,Cirspalu,Cynocris,Dactglom,Dactmaja,Dantdecu,Desccesp,Dryodila,Epiladen,Epilpalu,Equiarve,EquiSylv,Festovin,Festprat,Festrubr,Galialbu,Galibore,Galipalu,Galiulig,Hierumbe,Holclana,Holcmoll,Hyporadi,Junceffu,Lathprat,Leonhisp,Lotucorn,Luzumult,Lychflos,Lysinumm,Lysivulg,Mentarve,Molicaer,Myosnemo,Nardstri,Pedisylv,Pimpmajo,Pinusylv,Planlanc,poa_prat,poa_triv,Poputrem,Poteerec,Prunvulg,Querrobu,Ranuacer,Ranuauri,Ranuflam,Ranunemo,Rumeacet,Saliauri,Sangoffi,Scirsylv,Scorhumi,Selicarv,Senerivu,Serrtinc,Stelgram,Succprat,Taraoffi,Trifdubi,Trifrepe,Urtidioi,Vaccmyrt,Valedioi,Verocham,Verooffi,Veroserp,Vicicrac
r1995p16,0,2,5,0,1,0,0,2,0,0,0,0,0,7,0,0.2,0,3,0,0,0,7,15,0,0,0,0,0,2,2,8,0,0,5,0,0,0,0,0,0,10,0,15,0,8,2,4,0,2,0,0,2,2,0,0,2,3,0,0,0,3,2,0,0,0,0,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
r1995p17,0,0,2,0,0,2,0,0,2,0,0,15,0,3,0,0,0,0,0,0,0,4,2,3,1,0,2,1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,13,0,2,0,10,0,1,0,5,0,0,0,2,0,0,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,4,0.5,0,0,0,0,0.5,1,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r1995p18,0,0,3,0,0,0,0,2,0,0,0,20,0,3,0,0,0,0,0,0,0,2,0.5,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,20,0,10,0,15,0,0,0,35,0,0,1,2,0,0,2,1,0,0,0,25,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
r1995p19,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,15,10,7,1,0,5,0,0,4,0,0,0.3,1,0,0,0.2,0,0,0,4,0,4,0,8,0,2,2,15,0,0,3,3,0,0,0,0,0,2,0,10,7,4,0,0,0,1,8,0,0,5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1995p20,0,0,5,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,2,3,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,10,1,6,0,2,0,1,0.1,10,0,0,1,0,1,0,2,2,0,1,0,30,2,5,0,0,0.1,0,0,0,0,5,0.2,0,1,0,0,0,0,0,0,0,2,0.2,0,0,0,5,0,0,0,0,0,0,0,0,0,0
r1995p21,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,30,0,2,0,10,0,1,2,10,0,0,1,2,0,0,5,0,0,0,0,4,1,12,0.2,0,0,0,0,0,0,6,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1995p22,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,10,2,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,7,1,5,0,4,0,0,1,20,0,0,4,3,0,0,1,0,0,0,0,20,2,4,0,0,0,0,3,0,0,8,0,0,0.2,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0
r1995p23,0,0,5,5,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,7,0,2,0,0,3,0,0,2,0,0,0,0,10,0,0,0,0,0,6,7,7,0,2,0,2,0,40,0,0,3,0,0,0,2,0,0,0,0,2,4,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1995p24,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,2,2,1,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,15,5,4,0,7,0,3,0,3,0,0,2,0,0,0,2,0,0,0,0,30,0,3,0,0,0,0,0,0,0,5,0,0,1,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
r1996p1,0,8,0,0,2,0,0,3,10,0,0,0,0,15,0,1,0,7,0,0,2,7,10,7,2,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,15,0,0,2,2,0,0,5,7,0,7,0,1,15,20,0,0,0,0,2,0,0,25,15,0,0,2,0,1,1,0,2,3,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0
r1996p2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,2,2,5,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,3,0,0,2,0,0,2,0,40,8,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
r1996p3,0,3,15,0,0,0,0,0,0,0,0,0,0,7,0,1,0,5,0,0,3,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,15,0,0,0,0,0,25,0,0,10,5,0,0,2,0,0,7,0,0,2,2,0,0,0,0,5,0,0,20,0,0,1,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1996p4,0,0,5,1,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,3,8,0,3,0,0,5,2,0,0,10,0,0,0,0,10,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,20,3,2,0,0,0,0,3,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1996p5,0,0,0,0,0,0,0,7,10,0,0,0,0,15,0,0,0,2,0,0,0,8,8,2,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,20,8,5,0,0,0,3,0,10,0,0,2,4,0,0,3,0,0,4,0,2,10,10,0,0,0,0,0,0,0,12,3,0,2,0,0,1,1,0,2,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
r1996p6,0,0,0,0,7,0,0,0,8,0,0,0,0,10,0,0,0,4,0,0,0,4,5,7,1,0,8,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,5,0,10,0,2,0,8,0,0,1,5,0,0,4,0,0,2,1,30,3,20,0,0,0,3,0,0,0,5,1,1,0,1,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
r1996p7,0,15,2,0,0,0,0,3,10,0,0,0,0,0,0,0,0,2,0,10,0,8,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,15,17,0,0,0,4,0,15,0,0,3,5,0,0,2,0,0,8,2,0,12,7,0,0,0,0,2,0,0,20,2,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1996p8,0,0,5,0,3,0,0,3,10,0,0,2,0,5,0,1,0,0,0,7,0,15,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,3,0,30,0,0,2,0,0,0,2,0,0,8,0,10,2,5,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
